thr1,thr2,slope,beta,full,last,combined
0.5,0.75,20,1.1,0.5734687058867675,0.7050625613819612,0.6129468625353256
0.5,0.75,40,0.9,0.5248076574046304,1.0,0.6673653601832412
0.5,0.75,40,0.95,0.542652503799801,1.0,0.6798567526598607
0.5,0.75,40,1.0,0.5578786505264871,0.9999999118617937,0.690515028927079
0.5,0.75,40,1.05,0.566033787417606,0.8408963411386131,0.6484925535339081
0.5,0.75,40,1.1,0.5708172094351838,0.7071067188634247,0.611704062263656
0.5,0.75,60,0.9,0.5241845390709811,1.0,0.6669291773496867
0.5,0.75,60,0.95,0.5420024823503471,1.0,0.6794017376452429
0.5,0.75,60,1.0,0.5574169276900018,1.0,0.6901918493830013
0.5,0.75,60,1.05,0.5657687330835471,0.8408964152537148,0.6483070377345974
0.5,0.75,60,1.1,0.5710009943208914,0.707106781186548,0.6118327303805884
0.5,0.8,10,0.9,0.5331839286661829,0.9128180708310308,0.6470741713156372
0.5,0.8,10,0.95,0.5514429830432751,0.8333912727132441,0.6360274699442657
0.5,0.8,10,1.0,0.5662725999307531,0.7304482271140724,0.6155252880857489
0.5,0.8,10,1.05,0.5746678191774496,0.6095078528049467,0.5851198292656987
0.5,0.8,10,1.1,0.5805039442603399,0.5059011446930328,0.5581231043901478
0.5,0.8,20,0.9,0.5274626965910926,1.0,0.6692238876137648
0.5,0.8,20,0.95,0.5451519532640022,1.0,0.6816063672848015
0.5,0.8,20,1.0,0.5613923356282161,0.9973443612943493,0.692177943328056
0.5,0.8,20,1.05,0.5692839946945587,0.8385760901725855,0.6500716233379666
0.5,0.8,20,1.1,0.5739093396294084,0.7050627481719469,0.6132553621921699
0.5,0.8,40,0.9,0.5242358492521701,1.0,0.6669650944765191
0.5,0.8,40,0.95,0.5420939033962747,1.0,0.6794657323773923
0.5,0.8,40,1.0,0.5574356399986473,0.9999999118617937,0.6902049215575912
0.5,0.8,40,1.05,0.5660650966103176,0.8408963411386131,0.6485144699688062
0.5,0.8,40,1.1,0.5708113000393144,0.7071067188634247,0.6116999256865474
0.5,0.8,60,0.9,0.523544675481543,1.0,0.6664812728370801
0.5,0.8,60,0.95,0.5413156184451391,1.0,0.6789209329115973
0.5,0.8,60,1.0,0.5566117251719438,1.0,0.6896282076203606
0.5,0.8,60,1.05,0.565519545495684,0.8408964152537148,0.6481326064230932
0.5,0.8,60,1.1,0.5707923943912033,0.707106781186548,0.6116867104298067
0.5,0.85,10,0.9,0.5328427287409507,0.9128180708310308,0.6468353313679747
0.5,0.85,10,0.95,0.5514567986992818,0.8333912727132441,0.6360371409034704
0.5,0.85,10,1.0,0.5670637875186136,0.7304482271140724,0.6160791193972512
0.5,0.85,10,1.05,0.5761377763373534,0.6095078528049467,0.5861487992776313
0.5,0.85,10,1.1,0.5819123249483247,0.5059011446930328,0.5591089708717372
0.5,0.85,20,0.9,0.5271336849617583,1.0,0.6689935794732307
0.5,0.85,20,0.95,0.5451983839092363,1.0,0.6816388687364654
0.5,0.85,20,1.0,0.561467235171239,0.9973442734059292,0.692230346641646
0.5,0.85,20,1.05,0.5704268683759987,0.8385759421544334,0.650871590509529
0.5,0.85,20,1.1,0.5753550227322937,0.7050625613819612,0.6142672843271939
0.5,0.85,40,0.9,0.5255133244704921,1.0,0.6678593271293445
0.5,0.85,40,0.95,0.5428119976491601,1.0,0.679968398354412
0.5,0.85,40,1.0,0.5585020822410085,0.9999999118617937,0.690951431127244
0.5,0.85,40,1.05,0.567473493604274,0.8408963411386131,0.6495003478645758
0.5,0.85,40,1.1,0.5718683739660243,0.7071067188634247,0.6124398774352444
0.5,0.85,60,0.9,0.5246871233107322,1.0,0.6672809863175124
0.5,0.85,60,0.95,0.5422730897879882,1.0,0.6795911628515916
0.5,0.85,60,1.0,0.5576205713507214,1.0,0.6903343999455049
0.5,0.85,60,1.05,0.5664911023693726,0.8408964152537148,0.6488126962346752
0.5,0.85,60,1.1,0.5713518687925447,0.707106781186548,0.6120783425107457
0.5,0.9,10,0.9,0.5330885449057066,0.912818010822271,0.6470073846806759
0.5,0.9,10,0.95,0.5515579639114488,0.8333911374709052,0.6361079159792857
0.5,0.9,10,1.0,0.5675404594380152,0.7304481157320274,0.6164127563262188
0.5,0.9,10,1.05,0.5773291322846643,0.6095077610539069,0.586982720915437
